"No,";Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay;;Delay 1;Delay 2 ;Jitter
1;0;;"104,22,1,235";"192,168,100,98";TCP;54;"443  >  56799 [FIN, ACK] Seq=1 Ack=1 Win=67 Len=0";;;0;"0,000102";;"0,000102";;"-0,016422";"0,016524";"0,032946"
2;"0,000102";;"192,168,100,98";"104,22,1,235";TCP;54;56799  >  443 [ACK] Seq=1 Ack=4294966412 Win=513 Len=0;;;"0,000102";"0,016626";;"0,016524";;"0,016316";"0,000208";"-0,016108"
3;"0,016626";;"104,22,1,235";"192,168,100,98";TCP;939;"[TCP Retransmission] 443  >  56799 [PSH, ACK] Seq=4294966412 Ack=1 Win=67 Len=885";;;"0,016626";"0,016834";;"0,000208";;"-0,000545";"0,000753";"0,001298"
4;"0,016834";;"192,168,100,98";"104,22,1,235";TCP;54;56799  >  443 [ACK] Seq=1 Ack=2 Win=510 Len=0;;;"0,016834";"0,017587";;"0,000753";;"-0,061211";"0,061964";"0,123175"
5;"0,017587";;"192,168,100,98";"104,22,1,235";TCP;54;"56799  >  443 [FIN, ACK] Seq=1 Ack=2 Win=510 Len=0";;;"0,017587";"0,079551";;"0,061964";;"0,011147";"0,050817";"0,03967"
6;"0,079551";;"192,168,100,98";"104,22,1,235";TCP;66;56800  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"0,079551";"0,130368";;"0,050817";;"0,050591";"0,000226";"-0,050365"
7;"0,130368";;"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56800 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"0,130368";"0,130594";;"0,000226";;"-0,000806";"0,001032";"0,001838"
8;"0,130594";;"192,168,100,98";"104,22,1,235";TCP;54;56800  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"0,130594";"0,131626";;"0,001032";;"-0,003225";"0,004257";"0,007482"
9;"0,131626";;"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"0,131626";"0,135883";;"0,004257";;"0,004207";5E-05;"-0,004157"
10;"0,135883";;"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Retransmission] 443  >  56799 [FIN, ACK] Seq=1 Ack=1 Win=67 Len=0";;;"0,135883";"0,135933";;5E-05;;"-0,046984";"0,047034";"0,094018"
11;"0,135933";;"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 4#1] 56799  >  443 [ACK] Seq=2 Ack=2 Win=510 Len=0;;;"0,135933";"0,182967";;"0,047034";;"0,033389";"0,013645";"-0,019744"
12;"0,182967";;"104,22,1,235";"192,168,100,98";TCP;54;443  >  56800 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"0,182967";"0,196612";;"0,013645";;"0,011428";"0,002217";"-0,009211"
13;"0,196612";;"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"0,196612";"0,198829";;"0,002217";;"-0,048392";"0,050609";"0,099001"
14;"0,198829";;"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"0,198829";"0,249438";;"0,050609";;"0,050505";"0,000104";"-0,050401"
15;"0,249438";;"104,22,1,235";"192,168,100,98";TCP;56;443  >  56800 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"0,249438";"0,249542";;"0,000104";;"-0,050182";"0,050286";"0,100468"
16;"0,249542";;"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"0,249542";"0,299828";;"0,050286";;"0,030645";"0,019641";"-0,011004"
17;"0,299828";;"104,22,1,235";"192,168,100,98";TCP;56;443  >  56800 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"0,299828";"0,319469";;"0,019641";;"-0,188595";"0,208236";"0,396831"
18;"0,319469";;"192,168,100,98";"104,22,1,235";TCP;54;"[TCP Retransmission] 56799  >  443 [FIN, ACK] Seq=1 Ack=2 Win=510 Len=0";;;"0,319469";"0,527705";;"0,208236";;"0,208132";"0,000104";"-0,208028"
19;"0,527705";;"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56800 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"0,527705";"0,527809";;"0,000104";;"-0,019008";"0,019112";"0,03812"
